id,interior_design_concept,location_zip_code,startup_budget,business_profit_rate,average_review_ratings
1,modern,95110,41051.29,81.18,2.16
2,vintage,95140,75425.13,58.84,4.9
3,art gallery,95106,74351.85,42.32,4.34
4,romantic,95112,43168.79,30.97,2.24
5,modern,95104,46833.26,13.26,1.15
6,industrial,95133,76993.37,55.54,0.81
7,art gallery,95128,36133.36,44.33,1.82
8,art gallery,95124,48788.98,77.96,2.84
9,modern,95119,35894.55,90.08,2.25
10,industrial,95121,63817.54,12.89,3.48
11,art gallery,95101,36244.26,72.32,1.02
12,minimalist,95118,68324.93,98.71,3.31
13,minimalist,95131,31032.17,80.42,4.92
14,vintage,95105,36688.55,12.57,1.21
15,romantic,95126,34304.45,33.79,3.18
16,minimalist,95102,55926.02,11.82,4.41
17,art gallery,95117,59772.04,71.14,4.0
18,industrial,95105,76461.12,83.57,2.66
19,industrial,95131,70198.47,98.23,4.3
20,minimalist,95125,48423.79,48.58,1.84
21,minimalist,95127,42958.64,53.06,1.07
22,industrial,95139,63026.89,55.49,1.0
23,minimalist,95138,71586.78,4.76,3.33
24,industrial,95136,67229.34,23.97,1.42
25,romantic,95108,44370.0,2.3,4.97
26,minimalist,95128,70787.19,90.45,4.6
27,minimalist,95127,68663.75,80.54,1.02
28,industrial,95123,45439.3,72.06,1.21
29,art gallery,95134,31437.51,8.7,3.99
30,romantic,95134,54792.24,9.51,2.36
31,modern,95112,37422.61,96.91,2.92
32,vintage,95138,51750.1,9.91,2.51
33,vintage,95125,77586.27,47.87,4.27
34,art gallery,95118,50897.19,92.33,0.7
35,industrial,95107,56933.02,58.48,1.64
36,industrial,95125,32159.44,96.82,2.82
37,romantic,95148,50841.33,15.74,0.88
38,romantic,95108,46581.21,40.96,0.19
39,minimalist,95132,52307.78,86.12,4.01
40,minimalist,95112,63425.32,63.4,4.12
41,art gallery,95119,75800.67,94.96,0.58
42,minimalist,95109,32768.13,2.06,3.6
43,minimalist,95107,42123.72,98.43,4.77
44,minimalist,95136,40681.55,7.17,4.52
45,modern,95122,43393.43,51.33,1.73
46,vintage,95117,74232.19,24.56,0.28
47,art gallery,95101,55436.17,71.87,2.01
48,vintage,95122,42028.73,41.45,4.08
49,industrial,95117,45796.42,27.95,1.9
50,minimalist,95128,32788.78,97.59,1.38
51,industrial,95122,35293.4,52.96,0.55
52,industrial,95132,61561.57,37.08,3.82
53,art gallery,95139,68523.06,50.94,1.94
54,romantic,95120,30929.18,89.22,0.24
55,romantic,95138,68423.67,41.18,0.95
56,modern,95118,69074.93,92.01,4.77
57,industrial,95127,36773.24,50.04,4.17
58,vintage,95120,43012.71,31.64,2.81
59,romantic,95136,65672.06,20.25,2.5
60,modern,95117,77357.11,79.55,1.22
61,vintage,95105,52301.05,10.45,0.13
62,art gallery,95132,54877.09,71.94,1.25
63,industrial,95131,57237.94,48.5,2.57
64,modern,95109,45965.66,84.72,2.9
65,art gallery,95111,34627.58,35.9,3.56
66,romantic,95113,65331.92,63.48,1.37
67,modern,95108,70750.41,98.49,0.86
68,industrial,95121,78611.71,19.97,3.28
69,art gallery,95129,47592.36,99.4,1.86
70,minimalist,95129,70517.63,90.16,0.9
71,minimalist,95109,37153.4,45.15,0.8
72,modern,95124,77998.78,79.02,4.35
73,minimalist,95132,53524.86,1.67,4.73
74,industrial,95120,37263.5,74.02,0.64
75,vintage,95140,49390.31,71.35,2.64
76,minimalist,95122,40356.24,44.29,1.63
77,minimalist,95135,63383.38,11.51,0.54
78,vintage,95105,64756.45,94.39,3.43
79,romantic,95120,57752.32,10.73,3.56
80,vintage,95113,61848.5,21.44,1.65
81,romantic,95108,63133.05,8.93,2.1
82,minimalist,95136,60048.82,41.7,3.99
83,vintage,95136,37462.55,43.12,1.94
84,romantic,95136,71066.81,53.46,2.77
85,minimalist,95105,58623.71,76.41,2.19
86,vintage,95104,76363.83,87.7,2.24
87,modern,95131,43454.24,56.25,1.09
88,modern,95118,61590.51,58.59,4.67
89,minimalist,95135,43267.95,44.69,1.61
90,minimalist,95106,46265.98,39.75,1.06
91,art gallery,95139,63246.42,92.57,1.35
92,art gallery,95105,30039.07,94.63,2.94
93,vintage,95139,79909.14,95.84,2.7
94,minimalist,95148,41763.27,78.54,4.5
95,modern,95131,68210.96,78.93,1.78
96,romantic,95127,38848.08,88.71,4.67
97,minimalist,95117,68294.67,83.84,2.54
98,art gallery,95135,48567.99,91.98,1.83
99,art gallery,95134,78270.89,23.18,4.64
100,modern,95104,42614.4,32.92,2.29
101,art gallery,95104,32328.55,98.7,3.39
102,minimalist,95106,34124.08,2.18,4.74
103,art gallery,95138,38112.32,23.99,2.67
104,romantic,95131,58074.83,5.02,0.43
105,modern,95133,61664.03,46.96,3.23
106,art gallery,95148,31732.47,19.28,2.26
107,vintage,95123,58628.69,9.09,0.04
108,minimalist,95123,36513.44,43.1,1.71
109,modern,95119,56353.07,66.78,1.46
110,vintage,95121,78242.08,74.26,3.84
111,minimalist,95107,74464.91,29.65,1.93
112,industrial,95136,31518.65,41.98,1.37
113,industrial,95107,63841.02,82.92,1.05
114,modern,95127,44417.36,23.69,2.95
115,romantic,95111,30458.07,50.25,4.76
116,modern,95109,73752.96,89.01,0.05
117,minimalist,95132,61130.72,3.16,2.07
118,vintage,95148,31003.72,62.37,3.47
119,vintage,95122,50118.04,94.87,1.94
120,modern,95111,38601.6,48.71,1.19
121,romantic,95136,57595.05,49.79,1.22
122,art gallery,95104,43618.89,63.33,0.8
